City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
37,Takoradi,GH,80.62,light rain,4.8845,-1.7554,Raybow International Hotel
44,Lorengau,PG,80.47,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Palmas,BR,87.67,light rain,-10.2128,-48.3603,Hotel Lago da Palma
80,Presidente Medici,BR,88.36,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
89,Hithadhoo,MV,83.1,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
92,Butaritari,KI,80.44,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,Monteria,CO,85.23,overcast clouds,8.748,-75.8814,Hotel Florida Sinú
102,Hilo,US,80.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
105,Touros,BR,82.8,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
106,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
112,Guane,CU,89.53,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
117,Mitsamiouli,KM,80.2,clear sky,-11.3847,43.2844,Foyer ADM
132,Cedar Rapids,US,87.3,clear sky,42.0083,-91.6441,DoubleTree by Hilton Hotel Cedar Rapids Convention Complex
135,Cabo San Lucas,MX,86.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
141,Balad,IQ,81.86,few clouds,34.0164,44.1453,رضاوي زنوبة
142,Faanui,PF,81.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Barra,BR,89.74,overcast clouds,-11.0894,-43.1417,Motel Albatroz
145,Veraval,IN,83.17,clear sky,20.9,70.3667,Lords Inn Somnath
149,Houma,US,86.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
150,Tocache,PE,88.45,scattered clouds,-8.1842,-76.5125,Residencial JATER
154,Bethel,US,80.19,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
167,Maragogi,BR,81.19,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
178,Robertsport,LR,82.44,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
195,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
208,Saint Joseph,US,86.56,few clouds,39.7686,-94.8466,Whiskey Mansion Inn
209,Acarau,BR,82.0,overcast clouds,-2.8856,-40.12,castelo pizzaria
211,Itaituba,BR,86.16,few clouds,-4.2761,-55.9836,Hotel Campos
215,Anori,BR,83.64,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
222,Hobyo,SO,81.86,broken clouds,5.3505,48.5268,Iftin hotel hobyo
225,Porto Novo,BJ,82.18,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
226,Conceicao Do Araguaia,BR,84.6,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
230,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
231,Hamilton,US,86.95,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
239,Puerto Ayacucho,VE,89.62,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
242,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
