City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,84.92,54,100,1.01,overcast clouds
1,Marzuq,YE,14.4,46.4667,75.0,16,31,3.44,scattered clouds
2,Hermanus,ZA,-34.4187,19.2345,58.53,77,6,5.77,clear sky
3,Rikitea,PF,-23.1203,-134.9692,76.15,68,0,22.79,clear sky
4,Hay River,CA,60.8156,-115.7999,53.87,59,100,9.15,overcast clouds
5,Flinders,AU,-34.5833,150.8552,68.25,91,86,4.0,overcast clouds
6,Thompson,CA,55.7435,-97.8558,44.13,95,100,6.64,overcast clouds
7,Saldanha,ZA,-33.0117,17.9442,60.13,80,0,16.93,clear sky
8,Saint-Joseph,RE,-21.3667,55.6167,71.98,79,40,11.7,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,50.11,66,20,20.71,few clouds
10,Castro,BR,-24.7911,-50.0119,69.13,60,100,4.38,overcast clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,28.13,72,100,7.43,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,71,20,5.75,few clouds
13,Jamestown,US,42.097,-79.2353,76.95,62,100,8.05,overcast clouds
14,Ahipara,NZ,-35.1667,173.1667,61.52,84,59,9.33,broken clouds
15,Tasiilaq,GL,65.6145,-37.6368,30.36,63,100,2.57,overcast clouds
16,Olafsvik,IS,64.8945,-23.7142,42.51,70,100,14.43,light rain
17,College,US,64.8569,-147.8028,45.46,77,75,1.01,broken clouds
18,Provideniya,RU,64.3833,-173.3,35.04,95,100,5.5,overcast clouds
19,Melchor De Mencos,GT,17.0686,-89.1522,96.8,36,20,6.91,few clouds
20,Moche,PE,-8.1711,-79.0092,66.38,77,99,10.36,fog
21,Luau,AO,-10.7073,22.2247,68.4,46,15,3.36,few clouds
22,Atuona,PF,-9.8,-139.0333,78.46,77,52,18.79,broken clouds
23,Buchanan,LR,5.8808,-10.0467,79.81,86,100,6.02,moderate rain
24,Kaura Namoda,NG,12.5898,6.5779,95.18,16,24,4.32,few clouds
25,Komsomolskiy,UZ,40.4272,71.7189,61.52,77,75,4.61,moderate rain
26,Qaanaaq,GL,77.484,-69.3632,20.7,69,99,0.89,overcast clouds
27,Khovu-Aksy,RU,51.1333,93.6,49.55,30,0,4.88,clear sky
28,Kapaa,US,22.0752,-159.319,78.78,83,75,16.11,broken clouds
29,Kamwenge,UG,0.1866,30.4539,65.07,93,61,1.79,light rain
30,Cape Town,ZA,-33.9258,18.4232,60.91,73,2,8.99,clear sky
31,Hofn,IS,64.2539,-15.2082,38.5,96,100,13.78,overcast clouds
32,Namatanai,PG,-3.6667,152.4333,77.85,80,15,3.83,few clouds
33,Ambulu,ID,-8.345,113.6058,76.21,89,15,2.95,few clouds
34,Mega,ET,4.05,38.3,59.58,80,53,8.19,broken clouds
35,Mataura,NZ,-46.1927,168.8643,42.48,92,100,2.62,overcast clouds
36,Busselton,AU,-33.65,115.3333,58.32,69,100,8.16,overcast clouds
37,Takoradi,GH,4.8845,-1.7554,80.62,83,100,7.4,light rain
38,Lasa,IT,46.6166,10.7002,60.69,89,8,3.18,clear sky
39,New Norfolk,AU,-42.7826,147.0587,58.91,73,100,1.99,overcast clouds
40,Olga,RU,43.7444,135.2892,42.64,89,95,5.82,overcast clouds
41,Geraldton,AU,-28.7667,114.6,55.81,94,75,12.66,broken clouds
42,Pisco,PE,-13.7,-76.2167,66.25,82,40,11.5,haze
43,Kenai,US,60.5544,-151.2583,50.02,44,0,14.97,clear sky
44,Lorengau,PG,-2.0226,147.2712,80.47,74,65,2.82,broken clouds
45,Thul,PK,28.2403,68.7759,98.6,7,0,8.5,clear sky
46,Chake Chake,TZ,-5.2459,39.7666,77.61,80,10,9.78,clear sky
